,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Darcy Kuemper,G,2012-2013,MIN,6,3,1,2,--,0,119,10,2.08,109,.916,0,288:18
1,Darcy Kuemper,G,2013-2014,MIN,26,25,12,8,--,4,702,60,2.43,642,.915,2,"1,480:14"
2,Darcy Kuemper,G,2014-2015,MIN,31,28,14,12,--,2,718,68,2.60,650,.905,3,"1,568:43"
3,Darcy Kuemper,G,2015-2016,MIN,21,16,6,7,--,5,507,43,2.43,464,.915,2,"1,063:24"
4,Darcy Kuemper,G,2016-2017,MIN,18,17,8,5,--,3,562,55,3.13,507,.902,0,"1,053:02"
5,Darcy Kuemper,G,2017-2018,LAK,19,15,10,1,0,3,516,35,2.10,481,.932,3,999:13
6,Darcy Kuemper,G,2017-2018,ARI,10,10,2,6,0,2,317,32,3.22,285,.899,1,596:40
7,Darcy Kuemper,G,2018-2019,ARI,55,55,27,20,0,8,"1,677",126,2.33,"1,551",.925,5,"3,251:15"
8,Darcy Kuemper,G,2019-2020,ARI,29,29,16,11,0,2,903,65,2.22,838,.928,2,"1,753:24"
9,Darcy Kuemper,G,2020-2021,ARI,27,27,10,11,0,3,710,66,2.56,644,.907,2,"1,546:37"
10,Darcy Kuemper,G,2021-2022,COL,57,57,37,12,0,4,"1,754",138,2.54,"1,616",.921,5,"3,258:45"
11,Darcy Kuemper,G,2022-2023,WSH,21,21,9,9,0,2,595,50,2.53,545,.916,2,"1,187:56"
